case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_001,5,ok,6.203869819641113,233110,47502,4.9073723211654245,4608,5,31,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_001_5core.json,
case_002,5,ok,63.598809242248535,261945,50105,5.22792136513322,900096,5,103,slack_t0.5_c1.0_a5|fine_time+ls_move_u181->c0+ls_move_u138->c1+ls_move_u513->c0+ls_move_u182->c0+ls_move_u998->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_002_5core.json,
case_003,5,ok,364.12466287612915,602212,152017,3.9614779925929335,5274468,5,36,v8_level_aggressive_160_20|fine_time+ls_resort+ls_move_u681->c4+ls_move_u680->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_003_5core.json,
case_004,5,ok,17.207581281661987,392357,81107,4.837523271727471,1010688,5,68,v8_frontier6|fine_win4+ls_move_u107->c2+ls_move_u106->c1+ls_move_u96->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_004_5core.json,
case_005,5,ok,134.62115693092346,95618,37803,2.529375975451684,1580404,5,69,slack_t0.25_c0.6_a5|fine_time+ls_resort+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_005_5core.json,
case_006,5,ok,16.501569032669067,82837,19873,4.1683188245358025,418896,5,71,v8_frontier6+ls_move_u7->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_006_5core.json,
case_007,5,ok,99.48148775100708,1012562,203530,4.975001228320149,2270208,5,51,v8_frontier6,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_007_5core.json,
case_008,5,ok,13.800658941268921,487605,100603,4.846823653370178,0,5,34,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_008_5core.json,
case_009,5,ok,155.84734582901,153261,39098,3.919919177451532,811600,5,62,v8_level_aggressive_96_30+ls_resort+ls_move_u43->c2+ls_move_u140->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_009_5core.json,
case_010,5,ok,29.05570411682129,86969,19643,4.427480527414346,622716,5,111,slack_t0.5_c1.0_a5|fine_time+ls_move_u350->c0+ls_move_u275->c1+ls_move_u307->c0+ls_move_u134->c2+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_010_5core.json,
case_011,5,ok,13.0207998752594,184697,38531,4.793465002206016,1343488,5,42,v8_level_strong_1024_8,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_011_5core.json,
case_012,5,ok,15.752869129180908,59088,12056,4.901128069011281,94184,5,48,v8_micro64_b40+ls_move_u21->c4+ls_move_u47->c1+ls_move_u46->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_012_5core.json,
case_013,5,ok,31.612793922424316,263949,54363,4.855305998565201,32768,5,34,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_013_5core.json,
case_015,5,ok,14.705920934677124,177362,40208,4.411112216474334,358664,5,42,v8_micro64_b40,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_015_5core.json,
case_017,5,ok,51.43503999710083,162810,29771,5.46874475160391,378576,5,95,v8_clusterphase_aggressive_64|fine_win4+ls_move_u1310->c0+ls_move_u1311->c0+ls_move_u1301->c0+ls_move_u1302->c0+ls_move_u1241->c0+ls_move_u1242->c4+ls_move_u1181->c0+ls_move_u1180->c0+ls_move_u1174->c0+ls_move_u1175->c0+ls_move_u1176->c0+ls_move_u1177->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_017_5core.json,
case_018,5,ok,97.39214301109314,1004367,196765,5.10439864813356,4635392,5,73,v8_wcc_active5|fine_win16+ls_move_u2603->c1+ls_move_u2601->c3+ls_move_u2600->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_018_5core.json,
case_019,5,ok,12.322236061096191,81144,14243,5.697114371972197,209012,5,65,v8_frontier6|fine_win16+ls_move_u561->c4+ls_move_u561->c2+ls_move_u562->c1+ls_move_u563->c1+ls_move_u217->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_019_5core.json,
case_020,5,ok,140.03088426589966,532746,107491,4.956191681164005,0,5,41,v8_level_aggressive_96_30,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_020_5core.json,
case_021,5,ok,98.13456296920776,6567937,1241101,5.292024581399902,9420800,5,47,v8_micro64_b40,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_021_5core.json,
case_022,5,ok,23.90788197517395,56780,11625,4.884301075268818,48432,5,52,v8_level_aggressive_96_30+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_022_5core.json,
case_023,5,ok,34.12180685997009,122614,20022,6.1239636399960045,313760,5,109,v8_wcc_active5|fine_time+ls_move_u759->c4+ls_move_u93->c0+ls_move_u92->c0+ls_move_u91->c0+ls_move_u639->c0+ls_move_u85->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_023_5core.json,
case_024,5,ok,119.19020414352417,2555343,695306,3.6751344012564253,464404,5,41,v8_level_none_80_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_024_5core.json,
