case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_001,5,ok,8.764395952224731,233110,47502,4.9073723211654245,4608,5,59,v8_wcc_active5,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_001_5core.json,
case_002,5,ok,60.596800565719604,261945,50124,5.225939669619344,900096,5,149,slack_t0.5_c1.0_a5|fine_time+ls_move_u181->c3+ls_move_u138->c1+ls_move_u49->c0+ls_move_u50->c0+ls_move_u425->c0+ls_move_u1094->c0+focused_unblock_pipe_retime_r0+focused_join_source_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_002_5core.json,
case_003,5,ok,378.0118854045868,602212,150161,4.010442125452014,6031996,5,77,v8_level_aggressive_96_30|fine_time+ls_move_u680->c3+ls_resort+ls_move_u521->c0+ls_resort,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_003_5core.json,
case_004,5,ok,35.19636678695679,392357,81107,4.837523271727471,565248,5,85,v8_level_aggressive_160_20|fine_win4+ls_resort+focused_unblock_pipe_r0+focused_unblock_pipe_r1+focused_swap_pipe_r2+focused_wide_unblock_pipe_r0+focused_wide_unblock_pipe_r1+focused_wide_join_target_r2+focused_wide_unblock_pipe_r3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_004_5core.json,
case_005,5,ok,130.21192288398743,95618,37530,2.5477751132427393,1575796,5,145,slack_t0.25_c0.6_a5|fine_time+ls_resort+ls_resort+ls_move_u946->c1+focused_join_target_retime_r0+focused_join_source_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_005_5core.json,
case_006,5,ok,27.0364031791687,82837,19930,4.1563973908680385,425816,5,95,v8_frontier6+focused_unblock_pipe_r0+focused_unblock_pipe_r1+focused_unblock_pipe_r2+focused_wide_unblock_pipe_r0+focused_wide_unblock_pipe_r1+focused_wide_unblock_pipe_r2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_006_5core.json,
case_007,5,ok,88.02215027809143,1012562,203530,4.975001228320149,2325504,5,113,v8_frontier6|coarse_time,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_007_5core.json,
case_008,5,ok,30.477750301361084,487605,98241,4.963355421870705,184704,5,99,v8_wcc_active5+focused_unblock_pipe_r0+focused_unblock_pipe_r1+focused_swap_pipe_r2+focused_wide_unblock_pipe_r0+focused_wide_join_source_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_008_5core.json,
case_009,5,ok,116.75906300544739,153261,38615,3.9689498899391427,848464,5,98,v8_level_aggressive_96_30+ls_resort+ls_move_u43->c2+ls_move_u140->c3+focused_swap_pipe_r0+focused_swap_pipe_r1+focused_unblock_pipe_r2+focused_wide_unblock_pipe_r0+focused_wide_unblock_pipe_r1+focused_wide_unblock_pipe_r2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_009_5core.json,
case_010,5,ok,52.1924364566803,86969,18920,4.596670190274842,625988,5,178,slack_t0.5_c1.0_a5|fine_time+ls_move_u350->c0+ls_move_u275->c1+ls_move_u307->c0+ls_move_u134->c2+ls_resort+focused_unblock_pipe_r0+focused_unblock_pipe_r1+focused_unblock_pipe_r2+focused_wide_swap_pipe_retime_r0+focused_wide_unblock_pipe_retime_r1+focused_wide_unblock_pipe_retime_r2+focused_wide_swap_pipe_retime_r3+focused_wide_unblock_pipe_r4+focused_wide_unblock_pipe_r5+focused_wide_unblock_pipe_r6,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_010_5core.json,
case_011,5,ok,27.655367851257324,184697,38083,4.8498542656828505,1372160,5,71,v8_level_strong_1024_8+focused_unblock_pipe_r0+focused_unblock_pipe_r1+focused_unblock_pipe_r2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_011_5core.json,
case_012,5,ok,22.686565160751343,59088,12056,4.901128069011281,94184,5,83,v8_micro64_b40+ls_move_u21->c4+ls_move_u47->c1+ls_move_u46->c1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_012_5core.json,
case_013,5,ok,23.755730628967285,263949,54133,4.875935196645299,36864,5,64,v8_wcc_active5+focused_unblock_pipe_r0+focused_unblock_pipe_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_013_5core.json,
case_015,5,ok,22.203705549240112,177362,40208,4.411112216474334,358664,5,73,v8_micro64_b40,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7/A题_problem2_solver_v7_allcase_plans/case_015_5core.json,
