case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_001,2,ok,8.010160207748413,233110,116868,1.9946435294520313,1152,2,88,v8_wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_001_2core.json,
case_001,3,ok,8.081467151641846,233110,78545,2.9678528232223567,2304,3,92,v8_wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_001_3core.json,
case_001,4,ok,7.220099449157715,233110,58984,3.952088702020887,3456,4,89,v8_wcc_active4,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_001_4core.json,
case_001,5,ok,7.185587406158447,233110,47502,4.9073723211654245,4608,5,90,v8_wcc_active5,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_001_5core.json,
case_002,2,ok,51.33903503417969,261945,120844,2.1676293403065108,357888,2,197,v8_frontier6|fine_time+ls_move_u1761->c0+ls_resort+ls_move_u1561->c0+ls_move_u60->c1+ls_move_u130->c1+ls_move_u1546->c1+focused_unblock_pipe_retime_r0+focused_unblock_pipe_retime_r1+focused_unblock_pipe_retime_r2+order_2169_-1_r0+order_2097_-1_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_002_2core.json,
case_002,3,ok,55.76430606842041,261945,81176,3.2268774021878386,781824,3,201,slack_t0.5_c1.0_a3|fine_time+ls_move_u252->c2+ls_move_u57->c1+ls_move_u73->c1+focused_unblock_pipe_retime_r0+focused_unblock_pipe_retime_r1+focused_unblock_pipe_retime_r2+pair_shift_pair_retime_r0+focused_wide_unblock_pipe_retime_r0+focused_wide_swap_pipe_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_002_3core.json,
case_002,4,ok,49.34665036201477,261945,61700,4.24546191247974,499200,4,194,v8_frontier6|fine_win64+ls_move_u1599->c2+ls_move_u1494->c2+ls_move_u1493->c2+ls_move_u1492->c2+ls_move_u1598->c2+ls_move_u1458->c3+ls_move_u1457->c2+focused_unblock_pipe_retime_r0+focused_unblock_pipe_retime_r1+focused_unblock_pipe_retime_r2+pair_shift_pair_retime_r0+pair_shift_pair_retime_r1+pair_shift_pair_retime_r2+pair_shift_pair_retime_r3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_002_4core.json,
case_002,5,ok,47.475956201553345,261945,50124,5.225939669619344,900096,5,181,slack_t0.5_c1.0_a5|fine_time+ls_move_u181->c3+ls_move_u138->c1+ls_move_u49->c0+ls_move_u50->c0+ls_move_u425->c0+ls_move_u1094->c0+focused_unblock_pipe_retime_r0+focused_join_source_r1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_002_5core.json,
case_003,2,ok,389.5678291320801,602212,252340,2.386510263929619,2690090,2,81,slack_t0.75_c1.5_a2|fine_time+ls_resort+ls_move_u0->c0+ls_resort+ls_move_u283->c1+ls_resort+ls_move_u692->c0+ls_move_u683->c0+focused_unblock_pipe_retime_r0+focused_swap_pipe_retime_r1+focused_unblock_pipe_retime_r2+focused_wide_swap_pipe_retime_r0+focused_wide_swap_pipe_retime_r1+focused_wide_unblock_pipe_r2+focused_wide_swap_pipe_retime_r0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_003_2core.json,
case_003,3,ok,353.66042494773865,602212,185681,3.2432612922162205,3152400,3,86,v8_level_aggressive_160_20|fine_time+ls_move_u628->c1+ls_move_u629->c2+focused_swap_pipe_retime_r0+focused_unblock_pipe_retime_r1+focused_swap_pipe_retime_r2+pair_shift_pair_retime_r0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_003_3core.json,
case_003,4,ok,324.32951378822327,602212,164268,3.6660335549224436,5571746,4,81,slack_t0.5_c1.0_a4|fine_time+ls_move_u639->c0+ls_resort+focused_unblock_pipe_retime_r0+focused_unblock_pipe_retime_r1+focused_unblock_pipe_r2+focused_wide_join_source_r0+focused_wide_unblock_pipe_r1+order_fine_r0+order_13652_-1_r1+order_13640_-1_r2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_003_4core.json,
case_003,5,ok,365.61634063720703,602212,150600,3.9987516600265605,5274468,5,91,v8_level_aggressive_160_20|fine_time+ls_resort+ls_resort+ls_move_u681->c4+ls_move_u680->c4+order_13345_-1_r0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_003_5core.json,
case_004,2,ok,17.701131105422974,392357,194802,2.014132298436361,2875392,2,126,slack_t0.75_c1.5_a2|fine_time~win256+focused_unblock_pipe_retime_r0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_004_2core.json,
case_004,3,ok,13.420970439910889,392357,130926,2.9967844431205415,2101248,3,117,v8_frontier6|fine_time,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/p2_v7_1/A题_problem2_solver_v7_1_allcase_plans/case_004_3core.json,
