case,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,stderr
case_001,ok,3.666237354278565,wcc_pack3,233110,47502,4.9073723211654245,4608,5,
case_002,ok,6.719959259033203,strong_b10,261945,60471,4.331745795505284,608256,38,
case_004,ok,2.668440818786621,wcc_pack3,392357,88341,4.441391879195391,442368,5,
case_005,ok,82.86859893798828,"aggr_ultrafine20+reassign0.1+reassign2+merge(203,229)+merge(132,163)",95618,58697,1.6290100005110995,2478822,234,
case_006,ok,4.181191682815552,aggr_fine15,82837,24116,3.434939459280146,261132,16,
case_007,ok,28.26908588409424,wcc_pack3,1012562,203834,4.967581463347626,110592,5,
case_008,ok,3.2415685653686523,wcc_pack3,487605,100603,4.846823653370178,0,5,
case_009,ok,82.996258020401,aggr_dense6k+reassign1,153261,47121,3.2524988858470745,731914,127,
case_010,ok,3.237518787384033,aggr_mid12,86969,24009,3.6223499521012954,555386,52,
case_011,ok,4.141590595245361,strong_compact12,184697,44642,4.137292236010931,1523712,36,
case_012,ok,4.852882146835327,wcc_pack3,59088,14225,4.153813708260105,49536,5,
case_013,ok,10.374802350997925,wcc_pack3,263949,54363,4.855305998565201,32768,5,
case_015,ok,4.215705633163452,wcc_pack3,177362,43430,4.083859083582777,321536,5,
case_017,ok,5.952284812927246,aggr_b15,162810,33981,4.791206850887261,556416,15,
case_018,ok,22.64935040473938,wcc_pack3,1004367,200953,4.99801943738088,4878336,5,
case_019,ok,3.773470640182495,aggr_ultrafine20,81144,18531,4.378824672170957,194736,27,
case_020,ok,54.680947065353394,wcc_pack3,532746,107650,4.948871342313051,0,5,
case_021,ok,29.523197412490845,aggr_b15,6567937,1246703,5.268245123337315,18124800,15,
case_022,ok,9.260301113128662,wcc_pack3,56780,11828,4.800473452823808,20736,5,
case_023,ok,4.850519418716431,wcc_pack3,122614,25191,4.867373268230717,280992,5,
case_024,ok,96.78007340431212,strong_long8,2555343,1090924,2.342365737668252,39332288,1919,
case_026,ok,5.418551921844482,wcc_active3,99203,41655,2.3815388308726444,95664,3,
case_027,ok,9.858580112457275,strong_b10+reassign0.1,2363952,471330,5.015492330214499,7495680,60,
case_029,ok,4.71319055557251,wcc_pack3,37555,9383,4.002451241607162,0,5,
case_031,ok,82.2118752002716,aggr_ultrafine20,1414369,304779,4.640637970463844,13114356,205,
case_032,ok,3.543504238128662,wcc_pack3,41443,10415,3.979164666346616,12360,5,
case_033,ok,32.80164980888367,aggr_b15+reassign0.1,1774196,357333,4.965105377896808,11138936,47,
case_034,ok,55.50928378105164,aggr_ultrafine20+reassign0.1,842996,169763,4.965722801788376,5970984,25,
case_035,ok,21.03063941001892,aggr_mixed4k,169571,50420,3.3631693772312574,737440,80,
case_036,ok,9.699729204177856,wcc_pack3,931510,187182,4.976493466252097,4608,5,
