case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_001,5,ok,3.660578727722168,233110,47502,4.9073723211654245,4608,5,31,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_001_5core.json,
case_002,5,ok,48.15030908584595,261945,50105,5.22792136513322,900096,5,103,slack_t0.5_c1.0_a5|fine_time+ls_move_u181->c0+ls_move_u138->c1+ls_move_u513->c0+ls_move_u182->c0+ls_move_u998->c3,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_002_5core.json,
case_003,5,ok,270.96593403816223,602212,150161,4.010442125452014,6031996,5,57,v8_level_aggressive_96_30|fine_time+ls_move_u680->c3+ls_resort+ls_move_u521->c0+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_003_5core.json,
case_004,5,ok,9.509027004241943,392357,81107,4.837523271727471,1010688,5,68,v8_frontier6|fine_win4+ls_move_u107->c2+ls_move_u106->c1+ls_move_u96->c2,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_004_5core.json,
case_005,5,ok,122.79932022094727,95618,37803,2.529375975451684,1580404,5,81,slack_t0.25_c0.6_a5|fine_time+ls_resort+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_005_5core.json,
case_006,5,ok,8.908974170684814,82837,19873,4.1683188245358025,418896,5,71,v8_frontier6+ls_move_u7->c3,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_006_5core.json,
case_007,5,ok,103.02913212776184,1012562,203530,4.975001228320149,2270208,5,67,v8_frontier6,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_007_5core.json,
case_008,5,ok,8.263782024383545,487605,100603,4.846823653370178,0,5,34,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_008_5core.json,
case_009,5,ok,129.5819170475006,153261,39098,3.919919177451532,811600,5,66,v8_level_aggressive_96_30+ls_resort+ls_move_u43->c2+ls_move_u140->c3,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_009_5core.json,
case_010,5,ok,16.746281147003174,86969,19643,4.427480527414346,622716,5,111,slack_t0.5_c1.0_a5|fine_time+ls_move_u350->c0+ls_move_u275->c1+ls_move_u307->c0+ls_move_u134->c2+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_010_5core.json,
case_011,5,ok,7.480288028717041,184697,38531,4.793465002206016,1343488,5,42,v8_level_strong_1024_8,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_011_5core.json,
case_012,5,ok,9.781941890716553,59088,12056,4.901128069011281,94184,5,48,v8_micro64_b40+ls_move_u21->c4+ls_move_u47->c1+ls_move_u46->c1,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_012_5core.json,
case_013,5,ok,38.96773290634155,263949,54363,4.855305998565201,32768,5,34,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_013_5core.json,
case_015,5,ok,9.532751083374023,177362,40208,4.411112216474334,358664,5,42,v8_micro64_b40,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_015_5core.json,
case_017,5,ok,55.24227213859558,162810,29791,5.465073344298614,378512,5,89,v8_clusterphase_aggressive_64|fine_win4+ls_move_u1310->c0+ls_move_u1311->c0+ls_move_u1301->c0+ls_move_u1302->c0+ls_move_u1241->c0+ls_move_u1242->c4+ls_move_u1181->c0+ls_move_u1180->c0+ls_move_u1174->c0+ls_move_u1175->c0+ls_move_u1176->c0,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_017_5core.json,
case_018,5,ok,104.05471992492676,1004367,196765,5.10439864813356,4635392,5,93,v8_wcc_active5|fine_win16+ls_move_u2603->c1+ls_move_u2601->c3+ls_move_u2600->c4,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_018_5core.json,
case_019,5,ok,7.013489246368408,81144,14243,5.697114371972197,209012,5,65,v8_frontier6|fine_win16+ls_move_u561->c4+ls_move_u561->c2+ls_move_u562->c1+ls_move_u563->c1+ls_move_u217->c3,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_019_5core.json,
case_020,5,ok,119.51024794578552,532746,107491,4.956191681164005,0,5,41,v8_level_aggressive_96_30,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_020_5core.json,
case_021,5,ok,97.7478039264679,6567937,1241101,5.292024581399902,9420800,5,47,v8_micro64_b40,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_021_5core.json,
case_022,5,ok,14.33756685256958,56780,11625,4.884301075268818,48432,5,52,v8_level_aggressive_96_30+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_20cases/A题_problem2_solver_allcase_plans/case_022_5core.json,
